	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
79575	8.173547725	7.244242039	7.16205592	7.964941505	6.970080575	7.272815446	6.986071839	8.209054132
10006	11.72717288	10.76906192	10.72584134	10.23934374	10.27151742	11.08187665	10.70067006	10.75956508
10152	9.672950875	9.866111909	9.600489433	9.540985068	9.569440584	9.424911804	9.533569577	10.07573143
25890	4.925458306	11.07311689	8.335249652	5.355706991	9.03325532	7.009554325	9.754271888	6.899632444
51225	7.231827897	8.750860709	8.458388156	9.012316414	8.226731525	7.310676395	9.630433139	8.01860302
25	10.809871	11.89572212	11.61376051	11.62875733	11.62626349	11.39657979	11.47887461	11.71350217
27	10.00654166	10.22461698	9.677455564	8.946815354	9.872214222	9.353332334	9.298866769	9.474490192
3983	11.88264912	11.82298534	12.05423217	12.69870907	12.78921153	12.33280778	10.62290592	13.70180406
84448	7.026852057	8.659158565	4.477023175	4.27326224	4.644681175	8.589835006	6.126508315	5.586512565
22885	5.718830118	8.65185715	8.422011348	5.401132099	9.488970238	8.35141411	6.986071839	8.416753623
28	5.282469459	8.032411108	5.32924561	8.098476933	5.412005784	8.955147419	8.076484273	10.64564411
26	11.46677286	9.327850583	11.31158673	10.58499631	10.87750401	13.22232518	8.095726669	10.87980806
137735	0.559736524	1.396543134	0	0	2.406291756	0.45817199	2.318172203	1.157108404
29	10.9099371	12.08814597	11.31395199	10.79737855	11.64446848	11.88918052	11.4313842	11.61085141
29777	10.28225017	9.061963541	9.491867924	10.07275686	9.043091007	9.462855797	8.935409064	9.222298144
80325	8.472022639	9.047569197	8.312718715	7.474251882	8.529269682	9.671020152	9.110219934	9.569226
25841	8.185341788	7.674300334	8.520330309	8.486086436	9.502578838	9.689426544	8.283643093	9.579120548
30	9.496740554	9.43126316	9.84514188	9.891661297	9.544728986	9.835297874	9.220391872	9.581438814
10449	9.774824115	11.71677574	11.03506231	10.04082436	8.48953852	11.1860969	10.19038275	10.70159636
31	10.76616844	9.679803262	10.28973754	10.80584784	11.03365735	10.39009865	9.247314238	10.451782
32	8.446766543	9.652991206	7.569301963	6.137855957	9.12038201	8.881585704	7.792673833	9.01581895
